avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.762,0.2659,93.3852,0.2243,0.3577,0.091,0.0293,0.0414,0,0.3818,135,AZK01-120,0.245,0.688,0.1781,0.1339,0.5704
2.878,0.214,92.3333,0.1875,0.3051,0.0862,0.0274,0.0148,0,0.4341,132,AZK01-122,0.2306,0.7724,0.1752,0.0524,0.447
3.217,0.1977,97.9556,0.2258,0.3158,0.0868,0.0337,0.0175,0,0.4249,45,AZK01-124,0.2261,0.7276,0.2138,0.0587,0.4667
2.901,0.1946,95.3966,0.2123,0.3223,0.0881,0.0395,0.016,0,0.3883,58,AZK01-126,0.2375,0.7052,0.2372,0.0576,0.5172
2.828,0.2623,93.7127,0.2118,0.3497,0.0934,0.0282,0.0327,0,0.3909,181,STT01-002,0.2382,0.6851,0.1755,0.1394,0.5967
2.9,0.202,98.3158,0.2073,0.3186,0.079,0.0393,0.015,0,0.4135,133,STT02-002,0.2337,0.7042,0.2395,0.0562,0.4361
3.215,0.2026,97.6615,0.2236,0.3024,0.0802,0.0324,0.0177,0,0.42,65,STT03-002,0.2305,0.7449,0.1975,0.0575,0.5077
2.874,0.2087,91.2348,0.1948,0.3246,0.0868,0.0292,0.0113,0,0.4254,115,STT04-002,0.2304,0.768,0.1783,0.0537,0.4
2.789,0.3023,106.1008,0.1902,0.3012,0.0561,0.0274,0.0318,1,0.3637,129,AZK01-120,0.2593,0.7729,0.1248,0.1023,0.5736
2.816,0.2645,109.7286,0.1635,0.2732,0.0594,0.0196,0.0148,1,0.438,70,AZK01-122,0.2464,0.8294,0.1274,0.0431,0.5143
3.304,0.2638,98.9683,0.1827,0.2571,0.0392,0.0186,0.0125,1,0.3898,63,AZK01-124,0.2606,0.8337,0.1232,0.0432,0.5079
2.871,0.2225,129.9065,0.1676,0.2828,0.0596,0.0449,0.0087,1,0.4089,139,AZK01-126,0.2401,0.7472,0.2059,0.0469,0.4532
2.811,0.301,109.1724,0.1814,0.2978,0.0572,0.0217,0.0301,1,0.3669,87,STT01-002,0.2489,0.7591,0.1313,0.1097,0.4598
2.856,0.2441,123.1463,0.1766,0.2868,0.0613,0.0338,0.012,1,0.4103,205,STT02-002,0.2397,0.7637,0.1926,0.0437,0.478
3.187,0.2281,129.8318,0.1886,0.2772,0.0662,0.0268,0.0107,1,0.4166,107,STT03-002,0.2313,0.774,0.1809,0.045,0.5234
2.794,0.2691,96.0156,0.1599,0.2639,0.042,0.019,0.0057,1,0.4622,64,STT04-002,0.2579,0.8609,0.1084,0.0306,0.5156
2.898,0.3767,69.5287,0.1722,0.24,0.0032,0.0073,0.0326,2,0.3177,157,AZK01-120,0.3499,0.8772,0.0445,0.0783,0.5605
2.885,0.2486,70.9569,0.1563,0.2089,0.0013,0.0044,0.0093,2,0.4816,116,AZK01-122,0.3333,0.9395,0.0355,0.025,0.3793
3.412,0.3259,71.1429,0.1637,0.1981,0.0009,0.005,0.0088,2,0.3976,98,AZK01-124,0.3389,0.9214,0.0467,0.0318,0.4694
3.021,0.3047,75.4959,0.1508,0.2108,0.0018,0.0088,0.0112,2,0.3628,123,AZK01-126,0.3508,0.9125,0.0506,0.0369,0.4797
2.911,0.3749,68.8333,0.1682,0.2396,0.0037,0.0039,0.0364,2,0.3112,66,STT01-002,0.3518,0.8797,0.0385,0.0818,0.4848
2.981,0.3193,74.6419,0.1513,0.2129,0.003,0.0116,0.0125,2,0.3593,148,STT02-002,0.3527,0.9182,0.0516,0.0301,0.5608
3.362,0.3148,75.2857,0.1558,0.2027,0.0033,0.006,0.0075,2,0.3777,70,STT03-002,0.3405,0.9166,0.0526,0.0309,0.6
2.848,0.2568,71.1512,0.147,0.2087,0.0027,0.0064,0.0119,2,0.4893,86,STT04-002,0.3252,0.9326,0.0405,0.027,0.4419
2.83,0.3241,76.3277,0.1697,0.2782,0.0399,0.0178,0.0397,3,0.3736,119,AZK01-120,0.2442,0.7745,0.1205,0.105,0.5714
2.875,0.2215,72.5826,0.149,0.2428,0.0404,0.0189,0.0172,3,0.4477,115,AZK01-122,0.2302,0.8148,0.141,0.0442,0.287
3.547,0.2841,86.3895,0.1557,0.2302,0.0346,0.0119,0.0176,3,0.4472,95,AZK01-124,0.2244,0.8335,0.1234,0.0432,0.5368
2.944,0.2875,86.1176,0.1387,0.2393,0.0316,0.0254,0.0131,3,0.3788,85,AZK01-126,0.2549,0.8155,0.1372,0.0473,0.4824
2.896,0.3087,76.0301,0.1627,0.2921,0.0558,0.0204,0.0484,3,0.4065,166,STT01-002,0.2298,0.7327,0.1547,0.1127,0.6867
2.968,0.2692,90.3789,0.1366,0.2658,0.0437,0.0268,0.0202,3,0.3816,161,STT02-002,0.2423,0.7806,0.1722,0.0472,0.5093
3.591,0.2572,84.6714,0.1493,0.2408,0.0545,0.0122,0.0152,3,0.4526,70,STT03-002,0.2108,0.8163,0.1343,0.0494,0.4286
2.837,0.1902,78.7547,0.1439,0.2448,0.0312,0.0144,0.0251,3,0.4555,53,STT04-002,0.2399,0.8355,0.1155,0.0491,0.2453
3.013,0.3291,79.6494,0.1685,0.3208,0.0803,0.0211,0.0398,4,0.4462,77,AZK01-120,0.2243,0.7439,0.1556,0.1005,0.6753
2.94,0.1964,78.2963,0.1365,0.2481,0.0643,0.0133,0.0154,4,0.488,135,AZK01-122,0.2341,0.8209,0.1391,0.04,0.2815
3.748,0.2371,88.9881,0.1535,0.265,0.0755,0.0127,0.0209,4,0.4479,84,AZK01-124,0.2023,0.7979,0.155,0.0471,0.4048
2.957,0.2342,93.0947,0.1389,0.2755,0.0753,0.0351,0.0117,4,0.3448,95,AZK01-126,0.2116,0.7432,0.2015,0.0554,0.4737
2.932,0.3024,78.6878,0.1663,0.3136,0.0798,0.0231,0.0428,4,0.4538,189,STT01-002,0.2224,0.7338,0.1585,0.1077,0.6085
2.979,0.2535,89.9662,0.1334,0.2865,0.0712,0.0336,0.0176,4,0.3505,148,STT02-002,0.2178,0.75,0.1947,0.0553,0.6284
3.728,0.2415,85.8415,0.1546,0.2594,0.0743,0.0146,0.0171,4,0.4498,82,STT03-002,0.2019,0.8068,0.151,0.0422,0.5122
2.947,0.1793,79.4444,0.1411,0.2787,0.0736,0.0169,0.014,4,0.4663,54,STT04-002,0.234,0.8148,0.1437,0.0415,0.2407
