avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.491,0.3353,76.436,0.1861,0.2897,0.0436,0.0251,0.05,6,0.3729,172,AZK01-120,0.3193,0.6909,0.1837,0.1253,0.5058
2.544,0.3497,69.4409,0.189,0.2452,0.0372,0.0234,0.0107,6,0.4022,127,AZK01-122,0.2884,0.7731,0.186,0.0409,0.6614
2.734,0.2821,83.058,0.1873,0.2511,0.0374,0.0365,0.0166,6,0.3841,138,AZK01-124,0.2879,0.7229,0.233,0.0441,0.3913
2.506,0.2788,88.0168,0.1603,0.2477,0.0394,0.0441,0.0127,6,0.4247,119,AZK01-126,0.3017,0.6936,0.2635,0.0429,0.3445
2.414,0.3541,75.7778,0.1793,0.2697,0.0421,0.0307,0.029,6,0.3559,135,STT01-002,0.3067,0.681,0.2341,0.0849,0.5778
2.486,0.2826,86.8507,0.1719,0.2592,0.0364,0.0462,0.0151,6,0.4048,201,STT02-002,0.295,0.6867,0.2719,0.0414,0.4627
2.648,0.2859,80.0778,0.1709,0.2512,0.0374,0.038,0.0137,6,0.3713,90,STT03-002,0.2919,0.7076,0.2536,0.0389,0.4111
2.551,0.3321,75.54,0.1786,0.2633,0.0452,0.0243,0.0147,6,0.4182,100,STT04-002,0.2941,0.7802,0.1734,0.0464,0.67
2.265,0.3239,78.268,0.175,0.2704,0.0381,0.0461,0.0179,7,0.3511,97,AZK01-120,0.3215,0.6412,0.2979,0.0608,0.4948
2.3,0.337,70.8824,0.1779,0.2492,0.033,0.0351,0.0041,7,0.4585,170,AZK01-122,0.3232,0.7452,0.2427,0.0121,0.6412
2.329,0.316,85.1,0.1718,0.2639,0.0411,0.0423,0.0059,7,0.3158,100,AZK01-124,0.3232,0.668,0.3178,0.0142,0.54
2.277,0.2668,84.9018,0.1756,0.2469,0.031,0.062,0.0051,7,0.2834,112,AZK01-126,0.3124,0.6664,0.3186,0.015,0.4375
2.266,0.327,79.2016,0.1735,0.2666,0.0371,0.0406,0.0206,7,0.3481,248,STT01-002,0.3256,0.6502,0.2864,0.0634,0.496
2.269,0.2785,83.8777,0.1825,0.2618,0.0351,0.0529,0.0059,7,0.2847,188,STT02-002,0.323,0.6482,0.3356,0.0162,0.3777
2.357,0.3045,83.22,0.1589,0.2534,0.0336,0.0461,0.0058,7,0.322,100,STT03-002,0.3209,0.6642,0.3208,0.015,0.5
2.311,0.3166,74.7797,0.1808,0.2579,0.0372,0.0262,0.0074,7,0.4631,59,STT04-002,0.3113,0.7485,0.2373,0.0142,0.5593
