avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.798,0.2662,84.3548,0.21,0.3552,0.0907,0.0293,0.0423,0,0.3955,124,AZK01-120,0.2322,0.6837,0.1781,0.1382,0.6774
2.9,0.2189,83.528,0.1898,0.3073,0.0852,0.0309,0.0128,0,0.4219,125,AZK01-122,0.2215,0.7818,0.1709,0.0474,0.384
3.271,0.1951,87.5714,0.2169,0.3128,0.0845,0.0315,0.0115,0,0.432,35,AZK01-124,0.2261,0.744,0.2,0.056,0.4571
2.903,0.2063,87.5106,0.2011,0.3278,0.0824,0.0495,0.0146,0,0.4026,47,AZK01-126,0.2317,0.7026,0.2434,0.054,0.2979
2.832,0.2696,84.5423,0.2083,0.3416,0.0865,0.0281,0.0373,0,0.3915,142,STT01-002,0.237,0.69,0.168,0.142,0.6549
2.858,0.2086,86.1828,0.1845,0.3267,0.0801,0.0413,0.0174,0,0.4209,93,STT02-002,0.2265,0.7099,0.2385,0.0516,0.4409
3.323,0.2109,87.4364,0.2111,0.308,0.0766,0.0333,0.0143,0,0.4345,55,STT03-002,0.2129,0.7502,0.2055,0.0444,0.4545
2.87,0.2093,81.505,0.1983,0.3221,0.0826,0.0393,0.0108,0,0.44,101,STT04-002,0.2266,0.7616,0.1838,0.0547,0.396
2.769,0.2625,116.7912,0.1951,0.3437,0.0857,0.0321,0.0308,1,0.387,91,AZK01-120,0.2313,0.7018,0.1657,0.1325,0.6264
2.861,0.2349,111.4259,0.1706,0.3017,0.084,0.0309,0.0123,1,0.4126,54,AZK01-122,0.2184,0.7674,0.1804,0.0522,0.4074
3.111,0.2089,118.7368,0.1826,0.3068,0.0903,0.032,0.0065,1,0.4126,38,AZK01-124,0.2264,0.7721,0.1853,0.0426,0.6579
2.851,0.2069,126.8889,0.1595,0.3071,0.0766,0.0516,0.0092,1,0.4198,117,AZK01-126,0.2275,0.7111,0.2403,0.0485,0.4359
2.76,0.2661,113.4947,0.1849,0.3224,0.0784,0.0336,0.0337,1,0.3886,95,STT01-002,0.2349,0.6808,0.1893,0.1299,0.5474
2.849,0.2202,125.1064,0.166,0.3109,0.0779,0.0408,0.0119,1,0.4156,188,STT02-002,0.2264,0.7144,0.2336,0.052,0.4681
3.185,0.2115,127.1458,0.1727,0.2938,0.0826,0.0269,0.0084,1,0.431,96,STT03-002,0.2247,0.7554,0.1979,0.0467,0.5208
2.867,0.2272,107.2791,0.1674,0.3161,0.0836,0.0307,0.0151,1,0.4112,43,STT04-002,0.2172,0.78,0.1642,0.0558,0.3721
2.868,0.3542,70.931,0.2149,0.2784,0.0232,0.0154,0.0616,2,0.3666,145,AZK01-120,0.2455,0.7023,0.1392,0.1585,0.5862
2.936,0.3041,65.375,0.2051,0.2372,0.0222,0.0158,0.0208,2,0.392,88,AZK01-122,0.2285,0.7845,0.1493,0.0661,0.4773
3.368,0.2888,76.1412,0.2171,0.2344,0.022,0.0172,0.0208,2,0.4059,85,AZK01-124,0.2451,0.7668,0.1673,0.0659,0.3765
2.915,0.2705,83.1959,0.2063,0.2382,0.0197,0.038,0.0185,2,0.392,97,AZK01-126,0.2426,0.7142,0.2216,0.0641,0.4124
2.824,0.324,70.8065,0.2236,0.2751,0.027,0.0129,0.068,2,0.3823,62,STT01-002,0.2321,0.7039,0.1319,0.1642,0.5323
2.916,0.287,82.7742,0.1988,0.2521,0.0279,0.031,0.0217,2,0.3882,124,STT02-002,0.2418,0.7168,0.2163,0.0669,0.4919
3.341,0.2905,78.36,0.2196,0.2333,0.0271,0.0182,0.0183,2,0.4124,50,STT03-002,0.2466,0.7796,0.1592,0.0612,0.56
2.797,0.3152,69.8592,0.1952,0.2507,0.0225,0.0135,0.0245,2,0.3659,71,STT04-002,0.2045,0.7876,0.1355,0.0769,0.5634
2.916,0.3537,72.7603,0.2055,0.2751,0.02,0.0236,0.0515,3,0.3866,121,AZK01-120,0.2449,0.6974,0.1539,0.1488,0.6116
2.918,0.2921,73.4878,0.1863,0.2429,0.0254,0.0192,0.021,3,0.3859,82,AZK01-122,0.2342,0.7817,0.1629,0.0554,0.5854
3.463,0.2834,82.069,0.1987,0.2344,0.0221,0.0243,0.0163,3,0.4409,87,AZK01-124,0.2368,0.7694,0.1747,0.0559,0.4598
2.905,0.2635,85.9439,0.1899,0.2473,0.0227,0.0379,0.0197,3,0.3976,107,AZK01-126,0.2254,0.7264,0.2164,0.0572,0.3925
2.906,0.3497,75.5082,0.2071,0.2776,0.0228,0.0241,0.055,3,0.397,61,STT01-002,0.2411,0.698,0.1498,0.1521,0.5902
2.946,0.2853,86.3111,0.187,0.2521,0.0252,0.0298,0.0191,3,0.3945,135,STT02-002,0.2281,0.7264,0.2159,0.0578,0.4667
3.346,0.2865,84.375,0.2022,0.2321,0.02,0.0209,0.0173,3,0.4379,56,STT03-002,0.2467,0.7689,0.1746,0.0564,0.4821
3.004,0.3053,74.2877,0.1966,0.2404,0.0202,0.016,0.0186,3,0.3997,73,STT04-002,0.2421,0.7838,0.1605,0.0556,0.4247
