avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.881,0.3259,66.6289,0.2056,0.2899,0.0324,0.0206,0.0564,0,0.4085,97,AZK01-120,0.3669,0.6973,0.1458,0.1569,0.567
2.906,0.2594,68.4348,0.1692,0.2506,0.0342,0.0174,0.0174,0,0.4346,92,AZK01-122,0.3419,0.7867,0.1517,0.0615,0.3478
3.247,0.2734,77.6211,0.1655,0.2377,0.0322,0.0148,0.0215,0,0.4303,95,AZK01-124,0.3566,0.7629,0.1726,0.0644,0.6
2.935,0.2601,85.3253,0.1598,0.2579,0.0343,0.0419,0.0223,0,0.4253,83,AZK01-126,0.3389,0.7142,0.2217,0.0641,0.3735
2.874,0.3252,70.5069,0.1827,0.2839,0.0347,0.0199,0.0542,0,0.4031,144,STT01-002,0.3742,0.704,0.1382,0.1578,0.6042
2.97,0.2805,76.3404,0.1611,0.2605,0.0353,0.0307,0.0216,0,0.4123,141,STT02-002,0.3737,0.7312,0.2044,0.0644,0.4752
3.271,0.2826,76.7561,0.1736,0.241,0.0282,0.0191,0.0222,0,0.4332,82,STT03-002,0.3496,0.761,0.1741,0.0649,0.5122
2.932,0.2558,65.34,0.1735,0.2535,0.0329,0.0198,0.0251,0,0.4428,100,STT04-002,0.362,0.8006,0.1396,0.0598,0.46
2.83,0.3083,74.0761,0.1828,0.2941,0.0411,0.0272,0.0547,1,0.3913,92,AZK01-120,0.2374,0.6963,0.1643,0.1393,0.5435
2.897,0.271,69.9286,0.1705,0.2528,0.0327,0.022,0.0211,1,0.4462,112,AZK01-122,0.2284,0.7855,0.1654,0.0491,0.4821
3.309,0.2628,76.7037,0.1818,0.2595,0.0327,0.0304,0.0201,1,0.4664,81,AZK01-124,0.2128,0.7514,0.1975,0.0511,0.4444
2.879,0.2579,82.2347,0.1671,0.2647,0.0391,0.0472,0.0223,1,0.4006,98,AZK01-126,0.2293,0.7102,0.2322,0.0576,0.449
2.817,0.3033,70.3359,0.1873,0.2913,0.0378,0.0291,0.0542,1,0.3982,131,STT01-002,0.2375,0.6765,0.1831,0.1405,0.5725
2.893,0.2648,85.5986,0.1545,0.2664,0.0433,0.0431,0.0145,1,0.4089,142,STT02-002,0.2343,0.7021,0.2442,0.0537,0.4507
3.274,0.2696,90.3735,0.1592,0.2503,0.0407,0.0269,0.0162,1,0.4619,83,STT03-002,0.2306,0.7547,0.1993,0.046,0.5542
2.865,0.2687,68.8105,0.1677,0.2433,0.026,0.0223,0.02,1,0.4272,95,STT04-002,0.2291,0.7672,0.1756,0.0573,0.5053
2.931,0.3057,82.2589,0.1808,0.3119,0.0613,0.0289,0.0393,2,0.4207,112,AZK01-120,0.2408,0.702,0.1657,0.1323,0.5714
2.926,0.26,80.1458,0.1522,0.2614,0.0507,0.02,0.0103,2,0.4144,96,AZK01-122,0.2309,0.7902,0.1606,0.0492,0.4167
3.317,0.2517,89.7209,0.159,0.2588,0.0518,0.0227,0.0107,2,0.4463,86,AZK01-124,0.232,0.7744,0.1809,0.0447,0.5
2.93,0.2473,93.9101,0.1488,0.2806,0.0572,0.0417,0.0117,2,0.3791,89,AZK01-126,0.2427,0.736,0.2106,0.0535,0.427
2.954,0.3072,80.1087,0.1797,0.3043,0.0648,0.0246,0.0317,2,0.4262,138,STT01-002,0.2469,0.7119,0.1643,0.1238,0.5725
2.879,0.2433,95.4426,0.146,0.2846,0.0571,0.0395,0.0152,2,0.3734,122,STT02-002,0.2396,0.7211,0.2239,0.0549,0.5328
3.306,0.2195,94.7071,0.1543,0.2498,0.0521,0.0258,0.0108,2,0.441,99,STT03-002,0.231,0.7663,0.1887,0.0451,0.5152
2.954,0.2409,78.1739,0.1591,0.2603,0.0442,0.0207,0.0113,2,0.4374,92,STT04-002,0.2288,0.7991,0.1513,0.0496,0.4022
2.826,0.3229,69.0213,0.2,0.2982,0.0243,0.0275,0.0631,3,0.4068,94,AZK01-120,0.2469,0.6823,0.1674,0.1502,0.5638
2.913,0.2488,69.4,0.1808,0.2501,0.0209,0.0272,0.0203,3,0.4189,90,AZK01-122,0.2356,0.7713,0.178,0.0507,0.4222
3.228,0.2544,79.7,0.1943,0.2668,0.0261,0.0344,0.0172,3,0.3916,90,AZK01-124,0.2287,0.7582,0.1916,0.0502,0.4222
2.845,0.2613,81.5,0.1734,0.2735,0.0308,0.0474,0.0234,3,0.3513,62,AZK01-126,0.2355,0.7171,0.2258,0.0571,0.4839
2.835,0.3215,71.0884,0.1974,0.2998,0.0261,0.0277,0.0588,3,0.3886,147,STT01-002,0.2432,0.6959,0.1656,0.1385,0.6054
2.85,0.2638,80.1367,0.1743,0.2771,0.0307,0.0399,0.0223,3,0.3683,139,STT02-002,0.2373,0.7168,0.2227,0.0604,0.446
3.194,0.2606,80.7521,0.183,0.2651,0.0262,0.0287,0.0212,3,0.3887,117,STT03-002,0.2321,0.7595,0.1829,0.0576,0.5812
2.955,0.2326,67.2581,0.1785,0.2525,0.0193,0.0261,0.0225,3,0.4211,93,STT04-002,0.232,0.7781,0.1652,0.0568,0.4086
