avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.626,0.356,72.0804,0.1822,0.2636,0.0278,0.0221,0.0251,0,0.325,112,AZK01-120,0.1873,0.7361,0.1871,0.0768,0.6161
2.679,0.2894,71.7317,0.1683,0.2432,0.0276,0.0244,0.0068,0,0.3812,82,AZK01-122,0.1756,0.7973,0.18,0.0227,0.4024
2.961,0.3013,80.9506,0.1677,0.2415,0.037,0.0199,0.0061,0,0.4067,81,AZK01-124,0.1957,0.7773,0.201,0.0217,0.4691
2.549,0.2987,85.3333,0.1599,0.2529,0.0327,0.0377,0.0048,0,0.3619,84,AZK01-126,0.1838,0.7429,0.2405,0.0167,0.4286
2.595,0.3565,72.446,0.1801,0.2734,0.0335,0.0229,0.0246,0,0.317,139,STT01-002,0.1774,0.7376,0.1895,0.0729,0.5683
2.599,0.2951,82.5038,0.1638,0.2544,0.0297,0.0398,0.0076,0,0.3502,131,STT02-002,0.1833,0.7232,0.256,0.0208,0.4504
2.803,0.3001,83.8039,0.1604,0.2387,0.0311,0.0236,0.0081,0,0.4045,102,STT03-002,0.1758,0.7631,0.2143,0.0225,0.5294
2.618,0.2965,69.9506,0.1692,0.2594,0.0347,0.0214,0.0082,0,0.3765,81,STT04-002,0.1686,0.781,0.1941,0.0249,0.4691
2.402,0.3133,86.2317,0.1818,0.2731,0.0288,0.039,0.0428,1,0.3305,82,AZK01-120,0.2084,0.64,0.2476,0.1124,0.6585
2.582,0.2541,78.6711,0.1633,0.2493,0.0338,0.0298,0.0089,1,0.3708,76,AZK01-122,0.2071,0.7503,0.2116,0.0382,0.4211
2.632,0.2586,90.8831,0.1591,0.2492,0.0369,0.0384,0.0117,1,0.4114,77,AZK01-124,0.2094,0.6842,0.2782,0.0377,0.5065
2.44,0.2671,95.2151,0.1543,0.2509,0.0258,0.0581,0.0091,1,0.3978,93,AZK01-126,0.2026,0.6578,0.3073,0.0348,0.4409
2.465,0.3214,82.5347,0.1769,0.2831,0.0349,0.0383,0.0346,1,0.3435,144,STT01-002,0.2141,0.6525,0.2349,0.1126,0.5903
2.517,0.2603,96.5,0.1567,0.2615,0.0363,0.0524,0.0124,1,0.3982,144,STT02-002,0.1977,0.6756,0.2869,0.0375,0.5
2.61,0.2581,92.1776,0.1541,0.2485,0.0328,0.0389,0.0125,1,0.42,107,STT03-002,0.2079,0.7054,0.2594,0.0351,0.4206
2.551,0.2499,79.1798,0.1588,0.2469,0.0303,0.0308,0.0089,1,0.3921,89,STT04-002,0.2046,0.7454,0.2196,0.0351,0.427
2.849,0.2928,83.2911,0.187,0.3217,0.0601,0.0297,0.0435,2,0.3818,79,AZK01-120,0.2403,0.7081,0.1754,0.1165,0.5316
2.896,0.2569,81.02,0.1701,0.2795,0.0568,0.025,0.0176,2,0.4178,100,AZK01-122,0.2274,0.788,0.1664,0.0456,0.5
3.202,0.2395,94.3529,0.1692,0.2853,0.0632,0.0303,0.0155,2,0.3868,85,AZK01-124,0.2246,0.7607,0.1941,0.0452,0.4824
2.866,0.236,95.625,0.1692,0.2896,0.0567,0.0445,0.0161,2,0.3783,104,AZK01-126,0.2279,0.7231,0.2308,0.0462,0.4904
2.849,0.2916,84.8538,0.181,0.3157,0.0632,0.0268,0.0394,2,0.3718,130,STT01-002,0.2425,0.7168,0.1703,0.1129,0.5846
2.915,0.2492,94.9583,0.1656,0.2927,0.0579,0.0407,0.0157,2,0.3797,120,STT02-002,0.2341,0.7303,0.2193,0.0503,0.5583
3.227,0.2453,88.2596,0.1754,0.2749,0.0556,0.0316,0.0167,2,0.3994,104,STT03-002,0.2236,0.7617,0.1906,0.0477,0.4135
2.959,0.249,83.3556,0.1693,0.2841,0.0553,0.0297,0.0123,2,0.4089,90,STT04-002,0.2379,0.7951,0.1609,0.044,0.4
2.818,0.2945,74.1978,0.2684,0.295,0.0127,0.0069,0.0595,3,0.3505,91,AZK01-120,0.2549,0.684,0.1659,0.1501,0.5165
2.929,0.3085,70.0833,0.2492,0.2859,0.0159,0.004,0.0274,3,0.4052,84,AZK01-122,0.2449,0.7833,0.1543,0.0624,0.5
3.161,0.2981,81.7821,0.2654,0.2549,0.0146,0.0079,0.0264,3,0.3846,78,AZK01-124,0.2453,0.7354,0.1982,0.0664,0.5256
2.891,0.2615,85.1867,0.2962,0.2548,0.017,0.0153,0.0214,3,0.3888,75,AZK01-126,0.247,0.72,0.2128,0.0672,0.4667
2.824,0.3063,76.6769,0.2561,0.2935,0.0174,0.0084,0.0505,3,0.3389,130,STT01-002,0.2627,0.7017,0.1558,0.1425,0.5769
2.914,0.2603,87.8816,0.3118,0.2524,0.0139,0.0117,0.0213,3,0.3842,152,STT02-002,0.2505,0.7211,0.2079,0.0711,0.4342
3.103,0.2934,76.7184,0.2536,0.2623,0.0168,0.0071,0.0238,3,0.3792,103,STT03-002,0.2348,0.7538,0.1852,0.061,0.4854
2.908,0.305,71.2366,0.2467,0.2805,0.0139,0.0047,0.0273,3,0.4219,93,STT04-002,0.2451,0.7766,0.1596,0.0639,0.5054
