avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.821,0.3562,61.2432,0.1893,0.268,0.0207,0.0148,0.0555,0,0.3468,74,AZK01-120,0.1623,0.7381,0.1051,0.1568,0.6757
3.027,0.2672,62.4082,0.1808,0.2323,0.0247,0.014,0.0282,0,0.3886,98,AZK01-122,0.1471,0.7959,0.1096,0.0945,0.3367
3.395,0.2917,70.56,0.1757,0.239,0.0256,0.011,0.0352,0,0.3742,100,AZK01-124,0.1407,0.7766,0.1122,0.1112,0.57
2.887,0.3001,68.5909,0.1863,0.2583,0.0247,0.026,0.0358,0,0.348,88,AZK01-126,0.1383,0.748,0.1536,0.0984,0.4773
2.803,0.337,61.1462,0.1935,0.2691,0.0202,0.0118,0.0697,0,0.3432,130,STT01-002,0.1549,0.7298,0.0925,0.1777,0.5769
2.774,0.2957,74.4296,0.1652,0.2639,0.0312,0.0261,0.0359,0,0.327,135,STT02-002,0.1448,0.7267,0.1631,0.1102,0.5259
3.281,0.3042,71.8205,0.1766,0.2341,0.0249,0.0199,0.0245,0,0.3762,78,STT03-002,0.1354,0.7744,0.141,0.0846,0.5
2.982,0.2525,62.7561,0.1832,0.2449,0.026,0.0179,0.0246,0,0.4104,123,STT04-002,0.1459,0.7925,0.1223,0.0852,0.374
2.546,0.3434,72.907,0.1716,0.2524,0.0062,0.0237,0.0404,1,0.3386,86,AZK01-120,0.2472,0.6658,0.1751,0.1591,0.5465
2.642,0.288,71.9773,0.159,0.2296,0.004,0.0225,0.0202,1,0.2741,88,AZK01-122,0.2461,0.7239,0.2027,0.0734,0.4659
2.901,0.3222,78.3933,0.1635,0.2237,0.005,0.0234,0.0205,1,0.3697,89,AZK01-124,0.2377,0.7252,0.2074,0.0674,0.5955
2.568,0.286,84.25,0.1556,0.2225,0.0024,0.039,0.0194,1,0.375,88,AZK01-126,0.2421,0.6868,0.2439,0.0693,0.4318
2.539,0.3332,72.8716,0.1822,0.2528,0.0041,0.0228,0.0465,1,0.3591,148,STT01-002,0.2494,0.6586,0.1882,0.1531,0.5473
2.577,0.2986,81.7361,0.1604,0.2307,0.0063,0.032,0.0189,1,0.3754,144,STT02-002,0.249,0.6904,0.2419,0.0676,0.4792
2.889,0.3147,76.0488,0.1619,0.2268,0.0039,0.0241,0.0185,1,0.3617,82,STT03-002,0.244,0.7307,0.208,0.0612,0.439
2.554,0.2893,72.5743,0.1578,0.232,0.0049,0.0213,0.0252,1,0.2764,101,STT04-002,0.254,0.7145,0.2044,0.0812,0.4752
2.625,0.2876,78.6329,0.1959,0.2895,0.0176,0.0446,0.0776,2,0.397,79,AZK01-120,0.2686,0.6491,0.1742,0.1767,0.6329
2.58,0.2088,76.9186,0.1657,0.2378,0.0119,0.0581,0.0262,2,0.3863,86,AZK01-122,0.256,0.7228,0.1981,0.0791,0.3488
3.215,0.2156,92.8488,0.1772,0.2131,0.0239,0.0369,0.0245,2,0.4777,86,AZK01-124,0.2632,0.7574,0.1737,0.0688,0.4302
2.657,0.2197,101.7059,0.1647,0.2493,0.0222,0.0672,0.017,2,0.4346,85,AZK01-126,0.2668,0.6621,0.2715,0.0664,0.4824
2.549,0.2754,77.6774,0.2072,0.2905,0.019,0.0454,0.0765,2,0.4034,155,STT01-002,0.2525,0.6218,0.181,0.1972,0.5871
2.698,0.234,93.984,0.1646,0.2547,0.0211,0.0618,0.0236,2,0.425,125,STT02-002,0.2638,0.6723,0.2546,0.0731,0.552
3.14,0.2056,99.5088,0.1706,0.2129,0.0203,0.0394,0.0252,2,0.4782,114,STT03-002,0.2547,0.7363,0.1911,0.0726,0.4912
2.623,0.2045,79.0938,0.1704,0.2426,0.011,0.0618,0.0228,2,0.4033,96,STT04-002,0.2545,0.7298,0.2058,0.0644,0.4062
2.68,0.2701,78.9691,0.1941,0.2958,0.0299,0.0376,0.0689,3,0.4029,97,AZK01-120,0.2363,0.6759,0.1497,0.1744,0.6082
2.714,0.1867,75.567,0.1587,0.2452,0.0208,0.0407,0.0291,3,0.3625,97,AZK01-122,0.2264,0.7662,0.159,0.0748,0.2371
3.128,0.2148,96.0101,0.1639,0.2225,0.0232,0.0334,0.0232,3,0.4279,99,AZK01-124,0.2365,0.7717,0.1604,0.0679,0.4848
2.735,0.2182,103.4507,0.1452,0.268,0.0269,0.0601,0.0245,3,0.4152,71,AZK01-126,0.2333,0.6992,0.2335,0.0673,0.5775
2.669,0.2723,76.9231,0.1876,0.2974,0.0285,0.0352,0.0766,3,0.3937,130,STT01-002,0.2355,0.6606,0.1597,0.1797,0.6462
2.725,0.2181,102.7448,0.1435,0.2646,0.0293,0.0542,0.0218,3,0.4095,145,STT02-002,0.2384,0.7021,0.2308,0.0672,0.5034
3.11,0.2258,98.4615,0.1606,0.2221,0.0193,0.0351,0.0171,3,0.4336,78,STT03-002,0.2269,0.769,0.1713,0.0597,0.5256
2.712,0.2199,78.3119,0.161,0.2368,0.0151,0.0365,0.0273,3,0.3585,109,STT04-002,0.2289,0.7618,0.1661,0.0721,0.4037
