avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.926,0.3405,70.3448,0.1836,0.2829,0.0482,0.0202,0.0457,0,0.371,87,AZK01-120,0.2362,0.7299,0.143,0.1271,0.6552
3.083,0.2786,67.8876,0.1743,0.2487,0.0418,0.0184,0.0188,0,0.4265,89,AZK01-122,0.2372,0.8081,0.142,0.0499,0.4157
3.604,0.2824,75.9438,0.179,0.2524,0.0484,0.0201,0.0183,0,0.4604,89,AZK01-124,0.221,0.7739,0.1726,0.0535,0.3933
3.085,0.2742,80.0215,0.1677,0.2592,0.0469,0.0352,0.0139,0,0.4316,93,AZK01-126,0.2382,0.7422,0.2105,0.0473,0.4086
2.945,0.3461,72.1761,0.1787,0.2673,0.0388,0.0201,0.0441,0,0.3696,142,STT01-002,0.2401,0.7214,0.1511,0.1275,0.6479
3.161,0.2894,77.8582,0.1609,0.2653,0.0457,0.0298,0.0204,0,0.4397,141,STT02-002,0.2352,0.7366,0.2081,0.0553,0.5035
3.635,0.2821,79.8067,0.1798,0.2528,0.0464,0.0209,0.0201,0,0.4546,119,STT03-002,0.2268,0.7844,0.16,0.0556,0.479
3.029,0.2672,70.0104,0.1794,0.2571,0.0409,0.0215,0.0225,0,0.4196,96,STT04-002,0.2258,0.7879,0.1512,0.0608,0.4271
2.738,0.3618,65.75,0.1807,0.2511,0.0113,0.0198,0.0392,1,0.3975,88,AZK01-120,0.1935,0.6848,0.1784,0.1368,0.5795
2.856,0.2817,64.3077,0.1641,0.2313,0.0138,0.0228,0.0143,1,0.4167,91,AZK01-122,0.1929,0.7613,0.191,0.0477,0.4835
3.43,0.291,75.0533,0.1751,0.2305,0.0111,0.0285,0.0107,1,0.468,75,AZK01-124,0.1817,0.78,0.18,0.04,0.4667
2.962,0.2835,82.1515,0.1556,0.2254,0.0125,0.0355,0.0106,1,0.4404,99,AZK01-126,0.1866,0.7147,0.2406,0.0446,0.5253
2.746,0.3529,67.6914,0.1772,0.2528,0.0101,0.0231,0.0404,1,0.4052,162,STT01-002,0.1907,0.682,0.1864,0.1316,0.5864
2.946,0.2814,77.6107,0.1675,0.2396,0.0122,0.0346,0.0154,1,0.4406,131,STT02-002,0.177,0.7182,0.2344,0.0475,0.3969
3.262,0.2887,73.7087,0.1665,0.2268,0.0099,0.0276,0.0163,1,0.4553,103,STT03-002,0.1767,0.7586,0.1882,0.0532,0.5049
2.818,0.2828,64.757,0.1631,0.2322,0.0105,0.0262,0.0164,1,0.414,107,STT04-002,0.1913,0.7746,0.1701,0.0553,0.4393
2.702,0.3328,73.4946,0.2009,0.2656,0.0175,0.0301,0.0316,2,0.3523,93,AZK01-120,0.2543,0.7095,0.1589,0.1316,0.6237
2.792,0.2645,70.6292,0.1684,0.2416,0.0214,0.0296,0.0096,2,0.4016,89,AZK01-122,0.2471,0.7674,0.178,0.0546,0.427
3.076,0.288,75.098,0.1787,0.2432,0.0158,0.0398,0.0085,2,0.3904,102,AZK01-124,0.2458,0.7457,0.2088,0.0455,0.5196
2.766,0.2845,81.045,0.1811,0.2494,0.0261,0.0359,0.0142,2,0.38,111,AZK01-126,0.2334,0.7106,0.2333,0.056,0.4955
2.735,0.3327,70.2044,0.2003,0.2769,0.0271,0.0292,0.0285,2,0.3657,137,STT01-002,0.253,0.705,0.1762,0.1188,0.5693
2.818,0.2786,80.811,0.1857,0.2506,0.0214,0.0349,0.013,2,0.3819,127,STT02-002,0.243,0.7129,0.234,0.0531,0.4409
3.111,0.2944,77.534,0.1861,0.242,0.0151,0.0303,0.0127,2,0.3988,103,STT03-002,0.2391,0.7429,0.2101,0.047,0.4854
2.831,0.2739,69.7021,0.1762,0.2505,0.0181,0.0332,0.0092,2,0.3926,94,STT04-002,0.2436,0.7779,0.1764,0.0457,0.4255
2.489,0.3469,68.602,0.1771,0.2695,0.0069,0.0311,0.028,3,0.4076,98,AZK01-120,0.2204,0.6629,0.2024,0.1347,0.6122
2.557,0.294,68.6019,0.171,0.2452,0.0024,0.0256,0.0098,3,0.4126,103,AZK01-122,0.2144,0.7184,0.2227,0.0588,0.4951
2.842,0.31,73.4194,0.1742,0.2436,0.0034,0.0355,0.0097,3,0.4105,93,AZK01-124,0.2109,0.7039,0.2402,0.0559,0.5054
2.529,0.3009,81.4773,0.1609,0.2501,0.004,0.0415,0.0123,3,0.4939,88,AZK01-126,0.2159,0.6661,0.2877,0.0461,0.5114
2.475,0.3492,72.184,0.1707,0.271,0.0086,0.0285,0.0219,3,0.3842,125,STT01-002,0.2175,0.6838,0.1853,0.1309,0.648
2.566,0.2801,78.9463,0.1753,0.2475,0.0056,0.0409,0.0117,3,0.4961,149,STT02-002,0.2132,0.6607,0.2958,0.0435,0.349
2.889,0.3115,73.3679,0.1772,0.2494,0.0057,0.0396,0.0091,3,0.4145,106,STT03-002,0.2079,0.7138,0.2338,0.0525,0.5377
2.59,0.2858,65.9787,0.1728,0.242,0.003,0.0207,0.0087,3,0.424,94,STT04-002,0.209,0.7387,0.2096,0.0517,0.3617
