avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
3.173,0.3011,68.0757,0.2007,0.3518,0.1277,0.0099,0.0541,0,0.4152,185,AZK01-120,0.2745,0.7437,0.107,0.1493,0.5514
3.267,0.2749,67.8115,0.1797,0.2703,0.1098,0.012,0.021,0,0.4224,191,AZK01-122,0.2699,0.8088,0.1201,0.0711,0.5707
3.961,0.2396,79.3669,0.2198,0.3149,0.1262,0.0125,0.0219,0,0.4634,169,AZK01-124,0.2593,0.7994,0.1254,0.0751,0.4438
3.347,0.2465,81.9789,0.1941,0.3197,0.1215,0.0242,0.0219,0,0.3959,190,AZK01-126,0.266,0.7622,0.1641,0.0737,0.3632
3.281,0.3017,67.9746,0.1961,0.3257,0.1213,0.0085,0.0468,0,0.4269,236,STT01-002,0.2774,0.7506,0.1024,0.147,0.6398
3.364,0.2505,84.1508,0.1781,0.3234,0.1109,0.0243,0.0251,0,0.409,252,STT02-002,0.2556,0.7572,0.1646,0.0782,0.4881
3.89,0.2037,89.8278,0.1844,0.293,0.1173,0.0097,0.0175,0,0.4738,180,STT03-002,0.2647,0.801,0.1366,0.0624,0.5056
3.219,0.2266,68.8691,0.1921,0.3118,0.1196,0.0138,0.0211,0,0.4176,191,STT04-002,0.2508,0.7997,0.124,0.0763,0.4031
2.776,0.2995,77.4301,0.1979,0.3336,0.1039,0.022,0.0435,1,0.4033,193,AZK01-120,0.2581,0.7017,0.1591,0.1393,0.513
2.883,0.2868,73.9257,0.1738,0.2593,0.0907,0.0183,0.0181,1,0.4437,175,AZK01-122,0.2486,0.7856,0.1561,0.0583,0.6286
3.19,0.2392,91.1919,0.1973,0.2856,0.0978,0.0211,0.0188,1,0.4052,198,AZK01-124,0.2438,0.756,0.1838,0.0602,0.3889
2.926,0.255,95.8777,0.1762,0.3021,0.0963,0.0396,0.0165,1,0.4094,188,AZK01-126,0.2512,0.7284,0.2129,0.0587,0.4734
2.821,0.3038,76.9582,0.1897,0.312,0.1012,0.0155,0.0453,1,0.3872,239,STT01-002,0.2727,0.7162,0.1461,0.1377,0.5732
2.901,0.2498,94.0424,0.1697,0.3027,0.09,0.0363,0.0205,1,0.4093,236,STT02-002,0.2576,0.7175,0.2197,0.0629,0.5254
3.321,0.2159,96.89,0.1716,0.2715,0.0953,0.0159,0.0172,1,0.4132,200,STT03-002,0.2375,0.7678,0.1691,0.0631,0.485
2.884,0.2428,72.9273,0.175,0.2925,0.0998,0.0167,0.0158,1,0.4347,165,STT04-002,0.245,0.7975,0.1441,0.0584,0.3879
2.808,0.2892,85.6264,0.1923,0.3354,0.1017,0.0242,0.0467,2,0.3796,182,AZK01-120,0.2443,0.7088,0.1569,0.1343,0.4451
2.857,0.2526,79.9012,0.1617,0.2557,0.085,0.0226,0.0169,2,0.409,162,AZK01-122,0.2281,0.7795,0.1644,0.056,0.5432
3.145,0.2315,106.0645,0.1868,0.2936,0.1003,0.0264,0.019,2,0.3988,155,AZK01-124,0.2355,0.7559,0.189,0.0551,0.4645
2.866,0.235,103.64,0.1716,0.3051,0.0943,0.0457,0.0175,2,0.3771,200,AZK01-126,0.2439,0.718,0.2205,0.0615,0.5
2.799,0.2954,83.312,0.184,0.3277,0.1048,0.0231,0.0455,2,0.3778,266,STT01-002,0.2445,0.7077,0.1552,0.1371,0.594
2.887,0.2454,106.4457,0.1629,0.3099,0.0966,0.0374,0.0162,2,0.3643,267,STT02-002,0.2469,0.7245,0.2163,0.0593,0.5281
3.178,0.1848,121.7527,0.1581,0.2826,0.0988,0.0249,0.0138,2,0.4115,186,STT03-002,0.2423,0.7623,0.1824,0.0554,0.4355
2.892,0.2326,79.8295,0.1802,0.2934,0.0997,0.0201,0.0191,2,0.4136,176,STT04-002,0.2395,0.7852,0.1583,0.0565,0.4318
2.774,0.2923,82.6082,0.1893,0.3242,0.0797,0.0258,0.0443,3,0.3696,171,AZK01-120,0.2562,0.7035,0.1726,0.1239,0.538
2.863,0.2808,78.8424,0.1673,0.2742,0.0712,0.026,0.0146,3,0.4024,184,AZK01-122,0.2448,0.7948,0.1602,0.045,0.5924
3.168,0.227,104.9048,0.1726,0.2947,0.0745,0.0349,0.015,3,0.4304,189,AZK01-124,0.2409,0.7549,0.1961,0.049,0.4497
2.913,0.2112,105.599,0.1798,0.291,0.0699,0.0477,0.0159,3,0.4138,202,AZK01-126,0.2451,0.7199,0.233,0.0471,0.3515
2.777,0.2784,84.9246,0.1781,0.3156,0.0762,0.0262,0.0449,3,0.3739,252,STT01-002,0.2574,0.7099,0.1588,0.1313,0.5714
2.864,0.2288,107.6234,0.177,0.3002,0.0754,0.0425,0.0124,3,0.406,239,STT02-002,0.2461,0.7126,0.2424,0.045,0.5397
3.236,0.2084,107.6765,0.1733,0.288,0.0749,0.0327,0.014,3,0.434,204,STT03-002,0.2403,0.7598,0.1885,0.0517,0.5098
2.812,0.245,79.8039,0.1699,0.3004,0.0788,0.0278,0.016,3,0.4039,153,STT04-002,0.2545,0.792,0.1597,0.0482,0.4118
2.833,0.3048,73.6302,0.1959,0.3063,0.0576,0.019,0.0542,4,0.3857,192,AZK01-120,0.2493,0.6931,0.1595,0.1474,0.5
2.921,0.31,75.5579,0.1759,0.264,0.0513,0.0186,0.0177,4,0.4308,190,AZK01-122,0.2449,0.7859,0.1598,0.0543,0.6053
3.264,0.2356,89.6138,0.187,0.2859,0.066,0.0254,0.0162,4,0.4383,189,AZK01-124,0.2415,0.7551,0.1924,0.0525,0.4339
2.917,0.2355,97.6484,0.187,0.2676,0.0554,0.0404,0.016,4,0.4321,182,AZK01-126,0.2496,0.7096,0.2362,0.0543,0.4176
2.831,0.312,74.735,0.1797,0.29,0.0586,0.0165,0.0528,4,0.3859,234,STT01-002,0.2434,0.6875,0.1662,0.1463,0.6068
2.956,0.2379,99.6976,0.1865,0.2773,0.0592,0.0373,0.0152,4,0.4268,248,STT02-002,0.2477,0.7064,0.236,0.0577,0.4435
3.377,0.2661,94.2952,0.1723,0.2726,0.0579,0.0227,0.0175,4,0.4506,166,STT03-002,0.2364,0.7549,0.1871,0.058,0.5241
2.922,0.285,73.7513,0.177,0.2861,0.0615,0.0179,0.0179,4,0.4407,193,STT04-002,0.2454,0.793,0.1531,0.054,0.4611
2.832,0.3024,76.6336,0.1862,0.3195,0.0751,0.0243,0.0494,5,0.3938,232,AZK01-120,0.2365,0.6893,0.1721,0.1386,0.5043
2.943,0.2985,75.6258,0.1668,0.2755,0.0729,0.0204,0.0155,5,0.4346,163,AZK01-122,0.2348,0.791,0.1613,0.0476,0.5644
3.305,0.2342,94.0343,0.1785,0.2907,0.0778,0.0241,0.0148,5,0.4265,175,AZK01-124,0.2324,0.7677,0.1802,0.0521,0.3657
2.904,0.2368,100.9801,0.1785,0.2812,0.0723,0.0459,0.017,5,0.4034,201,AZK01-126,0.2405,0.7088,0.2368,0.0544,0.4378
2.844,0.2988,76.0394,0.1801,0.3037,0.0718,0.0204,0.0463,5,0.3958,279,STT01-002,0.2458,0.708,0.1611,0.1309,0.5556
2.947,0.2505,98.0516,0.1877,0.2922,0.0762,0.0324,0.0172,5,0.4055,213,STT02-002,0.2376,0.7231,0.2196,0.0573,0.4836
3.331,0.2553,97.6768,0.1573,0.2796,0.0754,0.0219,0.0153,5,0.4337,164,STT03-002,0.2342,0.776,0.1735,0.0505,0.5793
2.978,0.2873,77.1138,0.1758,0.2885,0.0691,0.0178,0.0182,5,0.4343,167,STT04-002,0.2426,0.7917,0.1547,0.0535,0.497
