avg_cost,beh_attack_rate,beh_episode_length,beh_noop_rate,beh_play_entity_rate,beh_portal_rate,beh_spell_rate,beh_weapon_rate,bucket,element_share,games,gate,jaccard,share_ENTITY,share_SPELL,share_WEAPON,win_rate
2.32,0.2945,83.221,0.1603,0.3389,0.0974,0.0285,0.0484,0,0.411,181,AZK01-120,0.2228,0.6139,0.223,0.1631,0.5525
2.399,0.2461,80.902,0.1317,0.2661,0.08,0.027,0.0212,0,0.4225,153,AZK01-122,0.2337,0.6873,0.2378,0.0749,0.5425
2.478,0.2002,111.0539,0.1475,0.2937,0.0827,0.0422,0.0189,0,0.4014,167,AZK01-124,0.2338,0.6359,0.2904,0.0737,0.4491
2.388,0.2316,118.315,0.1416,0.3023,0.0801,0.0564,0.017,0,0.5017,200,AZK01-126,0.2312,0.6121,0.3261,0.0618,0.43
2.283,0.2868,85.5628,0.1497,0.317,0.0865,0.0274,0.0469,0,0.387,215,STT01-002,0.226,0.6042,0.2327,0.1632,0.6558
2.359,0.2391,111.9221,0.1396,0.305,0.0797,0.0542,0.0153,0,0.5255,231,STT02-002,0.2317,0.61,0.3268,0.0632,0.4502
2.479,0.2107,116.6048,0.1434,0.2919,0.0828,0.0401,0.0168,0,0.4002,167,STT03-002,0.2346,0.6438,0.2817,0.0745,0.521
2.363,0.201,83.5779,0.1425,0.3129,0.0928,0.0276,0.021,0,0.4127,154,STT04-002,0.2296,0.6821,0.243,0.0749,0.3766
2.536,0.2887,83.8306,0.173,0.3242,0.0654,0.0325,0.0507,1,0.4121,183,AZK01-120,0.236,0.6533,0.2038,0.1428,0.5464
2.623,0.2417,73.1229,0.1507,0.2566,0.051,0.0192,0.0175,1,0.4314,179,AZK01-122,0.2379,0.7432,0.2031,0.0536,0.4413
2.868,0.2246,100.4231,0.1579,0.2854,0.0659,0.0367,0.0154,1,0.4465,156,AZK01-124,0.2217,0.7051,0.2419,0.0529,0.4423
2.625,0.2425,101.7736,0.1491,0.2972,0.0678,0.0508,0.0146,1,0.442,159,AZK01-126,0.2363,0.6642,0.285,0.0508,0.4403
2.544,0.3009,79.0351,0.1658,0.3094,0.0597,0.0241,0.0531,1,0.4208,228,STT01-002,0.2446,0.6501,0.203,0.1469,0.6009
2.606,0.245,102.0213,0.1452,0.2908,0.0592,0.0428,0.0154,1,0.4637,235,STT02-002,0.2435,0.6586,0.2922,0.0493,0.4979
2.892,0.2323,109.5633,0.1488,0.2818,0.0677,0.0344,0.0171,1,0.4515,158,STT03-002,0.2215,0.7015,0.2438,0.0547,0.5443
2.51,0.2125,76.4118,0.1489,0.2795,0.0591,0.0259,0.0167,1,0.4307,170,STT04-002,0.2462,0.7174,0.2313,0.0513,0.4471
2.55,0.2515,90.4294,0.1625,0.3608,0.1161,0.0269,0.045,2,0.399,163,AZK01-120,0.3642,0.6666,0.2067,0.1266,0.4908
2.65,0.2183,84.9611,0.1327,0.2818,0.0954,0.029,0.0169,2,0.4339,180,AZK01-122,0.3137,0.7378,0.2099,0.0523,0.5111
2.973,0.1759,116.5966,0.1493,0.3286,0.1098,0.0364,0.0137,2,0.4295,176,AZK01-124,0.3243,0.7169,0.235,0.0481,0.4545
2.691,0.2072,117.76,0.142,0.3156,0.0943,0.0631,0.0107,2,0.4455,175,AZK01-126,0.3512,0.6506,0.3029,0.0465,0.4514
2.572,0.2686,87.7588,0.1518,0.3402,0.1076,0.027,0.0422,2,0.4042,199,STT01-002,0.351,0.6641,0.2047,0.1312,0.5879
2.674,0.2135,113.8489,0.1364,0.3314,0.1033,0.0499,0.0118,2,0.4515,225,STT02-002,0.3381,0.6611,0.2931,0.0459,0.5244
2.967,0.1782,122.0178,0.1355,0.3132,0.1082,0.0358,0.0104,2,0.4325,169,STT03-002,0.3505,0.7247,0.2337,0.0415,0.5621
2.669,0.1845,83.5525,0.1444,0.3199,0.1096,0.0342,0.0123,2,0.4368,181,STT04-002,0.3479,0.743,0.2149,0.0421,0.4033
2.572,0.2547,95.8168,0.1653,0.3446,0.0969,0.0471,0.0351,3,0.3865,191,AZK01-120,0.5719,0.6773,0.2219,0.1008,0.5079
2.612,0.2034,87.4938,0.1359,0.2764,0.0833,0.0483,0.0066,3,0.443,162,AZK01-122,0.4742,0.7459,0.2272,0.0269,0.4815
2.682,0.1876,122.0,0.1447,0.2916,0.0875,0.0519,0.0089,3,0.3994,145,AZK01-124,0.4854,0.6821,0.2869,0.031,0.4414
2.56,0.198,130.0898,0.1296,0.3012,0.0773,0.0811,0.0093,3,0.3986,167,AZK01-126,0.4485,0.629,0.3394,0.0316,0.4731
2.535,0.2581,100.4017,0.1561,0.3271,0.0955,0.0466,0.033,3,0.3845,229,STT01-002,0.5367,0.6698,0.2225,0.1077,0.5808
2.576,0.2257,121.0964,0.1313,0.3106,0.0875,0.0661,0.0049,3,0.3772,249,STT02-002,0.5214,0.6352,0.3393,0.0255,0.5382
2.71,0.1795,132.1032,0.1314,0.2807,0.0868,0.0444,0.0062,3,0.3921,155,STT03-002,0.5674,0.7086,0.2685,0.0228,0.5226
2.606,0.1684,92.4882,0.1414,0.3036,0.0887,0.0489,0.0095,3,0.4389,170,STT04-002,0.4445,0.7416,0.23,0.0284,0.4
2.535,0.2517,100.1111,0.1619,0.3444,0.0983,0.0532,0.0328,4,0.3632,180,AZK01-120,0.6527,0.6749,0.2311,0.094,0.4667
2.62,0.193,85.9387,0.1382,0.2729,0.0761,0.0516,0.0059,4,0.4528,163,AZK01-122,0.4945,0.7584,0.2238,0.0178,0.5153
2.644,0.1941,125.3736,0.1337,0.2812,0.0854,0.0493,0.0043,4,0.358,174,AZK01-124,0.6247,0.7055,0.2767,0.0178,0.431
